real.type	FS	HS	UR	rep	par	loci	sim	total	pFS	pHS	pUR
UR	0	0	5908	85	10	100	Parents = 10 & Loci = 100	5908	0	0	1
FS	1196	0	0	86	10	100	Parents = 10 & Loci = 100	1196	1	0	0
HS	0	2116	0	86	10	100	Parents = 10 & Loci = 100	2116	0	1	0
UR	0	0	6588	86	10	100	Parents = 10 & Loci = 100	6588	0	0	1
FS	1430	0	0	88	10	100	Parents = 10 & Loci = 100	1430	1	0	0
HS	0	2378	0	88	10	100	Parents = 10 & Loci = 100	2378	0	1	0
UR	0	0	6092	88	10	100	Parents = 10 & Loci = 100	6092	0	0	1
FS	716	0	0	89	10	100	Parents = 10 & Loci = 100	716	1	0	0
HS	0	3030	0	89	10	100	Parents = 10 & Loci = 100	3030	0	1	0
UR	0	0	6154	89	10	100	Parents = 10 & Loci = 100	6154	0	0	1
FS	1818	0	0	8	10	100	Parents = 10 & Loci = 100	1818	1	0	0
HS	0	1548	0	8	10	100	Parents = 10 & Loci = 100	1548	0	1	0
UR	0	0	6534	8	10	100	Parents = 10 & Loci = 100	6534	0	0	1
FS	1196	0	0	90	10	100	Parents = 10 & Loci = 100	1196	1	0	0
HS	0	2512	0	90	10	100	Parents = 10 & Loci = 100	2512	0	1	0
UR	0	0	6192	90	10	100	Parents = 10 & Loci = 100	6192	0	0	1
FS	1082	0	0	91	10	100	Parents = 10 & Loci = 100	1082	1	0	0
HS	0	2150	0	91	10	100	Parents = 10 & Loci = 100	2150	0	1	0
UR	0	0	6668	91	10	100	Parents = 10 & Loci = 100	6668	0	0	1
FS	1042	0	0	92	10	100	Parents = 10 & Loci = 100	1042	1	0	0
HS	0	2612	0	92	10	100	Parents = 10 & Loci = 100	2612	0	1	0
UR	0	0	6246	92	10	100	Parents = 10 & Loci = 100	6246	0	0	1
FS	758	0	0	93	10	100	Parents = 10 & Loci = 100	758	1	0	0
HS	0	3792	0	93	10	100	Parents = 10 & Loci = 100	3792	0	1	0
UR	0	0	5350	93	10	100	Parents = 10 & Loci = 100	5350	0	0	1
FS	1730	24	0	94	10	100	Parents = 10 & Loci = 100	1754	0.986	0.014	0
